split,sequence_id,window_index
train,data1/imu1,0
train,data1/imu1,1
train,data1/imu1,2
train,data1/imu1,3
train,data1/imu1,4
train,data1/imu1,5
train,data1/imu1,6
train,data1/imu1,7
train,data1/imu1,8
train,data1/imu1,9
train,data1/imu1,10
train,data1/imu1,11
train,data1/imu1,12
train,data1/imu1,13
train,data1/imu1,14
train,data1/imu1,15
train,data1/imu1,16
train,data1/imu1,17
train,data1/imu1,18
train,data1/imu1,19
train,data1/imu1,20
train,data1/imu1,21
train,data1/imu1,22
train,data1/imu1,23
train,data1/imu1,24
train,data1/imu1,25
train,data1/imu1,26
train,data1/imu1,27
train,data1/imu1,28
train,data1/imu1,29
train,data1/imu1,30
train,data1/imu1,31
train,data1/imu1,32
train,data1/imu1,33
train,data1/imu1,34
train,data1/imu1,35
train,data1/imu1,36
train,data1/imu1,37
train,data1/imu1,38
train,data1/imu1,39
train,data1/imu1,40
train,data1/imu1,41
train,data1/imu1,42
train,data1/imu1,43
train,data1/imu1,44
train,data1/imu1,45
train,data1/imu1,46
train,data1/imu1,47
train,data1/imu1,48
train,data1/imu1,49
train,data1/imu1,50
train,data1/imu1,51
train,data1/imu1,52
train,data1/imu1,53
train,data1/imu1,54
train,data1/imu1,55
train,data1/imu1,56
train,data1/imu1,57
train,data1/imu1,58
train,data1/imu1,59
train,data1/imu1,60
train,data1/imu1,61
train,data1/imu1,62
train,data1/imu1,63
train,data1/imu1,64
train,data1/imu1,65
train,data1/imu1,66
train,data1/imu1,67
train,data1/imu1,68
train,data1/imu1,69
train,data1/imu1,70
train,data1/imu1,71
train,data1/imu1,72
train,data1/imu1,73
train,data1/imu1,74
train,data1/imu1,75
train,data1/imu1,76
train,data1/imu1,77
train,data1/imu1,78
train,data1/imu1,79
train,data1/imu1,80
train,data1/imu1,81
train,data1/imu1,82
train,data1/imu1,83
train,data1/imu1,84
train,data1/imu1,85
train,data1/imu1,86
train,data1/imu1,87
train,data1/imu1,88
train,data1/imu1,89
train,data1/imu1,90
train,data1/imu1,91
train,data1/imu1,92
train,data1/imu1,93
train,data1/imu1,94
train,data1/imu1,95
train,data1/imu1,96
train,data1/imu1,97
train,data1/imu1,98
train,data1/imu1,99
train,data1/imu1,100
train,data1/imu1,101
train,data1/imu1,102
train,data1/imu1,103
train,data1/imu1,104
train,data1/imu1,105
train,data1/imu1,106
train,data1/imu1,107
train,data1/imu1,108
train,data1/imu1,109
train,data1/imu1,110
train,data1/imu1,111
train,data1/imu1,112
train,data1/imu1,113
train,data1/imu1,114
train,data1/imu1,115
train,data1/imu1,116
train,data1/imu1,117
train,data1/imu1,118
train,data1/imu1,119
train,data1/imu1,120
train,data1/imu1,121
train,data1/imu1,122
train,data1/imu1,123
train,data1/imu1,124
train,data1/imu1,125
train,data1/imu1,126
train,data1/imu1,127
train,data1/imu1,128
train,data1/imu1,129
train,data1/imu1,130
train,data1/imu1,131
train,data1/imu1,132
train,data1/imu1,133
train,data1/imu1,134
train,data1/imu1,135
train,data1/imu1,136
train,data1/imu1,137
train,data1/imu1,138
train,data1/imu1,139
train,data1/imu1,140
train,data1/imu1,141
train,data1/imu1,142
train,data1/imu1,143
train,data1/imu1,144
train,data1/imu1,145
train,data1/imu1,146
train,data1/imu1,147
train,data1/imu1,148
train,data1/imu1,149
train,data1/imu1,150
train,data1/imu1,151
train,data1/imu1,152
train,data1/imu1,153
train,data1/imu1,154
train,data1/imu1,155
train,data1/imu1,156
train,data1/imu1,157
train,data1/imu1,158
train,data1/imu1,159
train,data1/imu1,160
train,data1/imu1,161
train,data1/imu1,162
train,data1/imu1,163
train,data1/imu1,164
train,data1/imu1,165
train,data1/imu1,166
train,data1/imu1,167
train,data1/imu1,168
train,data1/imu1,169
train,data1/imu1,170
train,data1/imu1,171
train,data1/imu1,172
train,data1/imu1,173
train,data1/imu1,174
train,data1/imu1,175
train,data1/imu1,176
train,data1/imu1,177
train,data1/imu1,178
train,data1/imu1,179
train,data1/imu1,180
train,data1/imu1,181
train,data1/imu1,182
train,data1/imu1,183
train,data1/imu1,184
train,data1/imu1,185
train,data1/imu1,186
train,data1/imu1,187
test,data1/imu2,0
test,data1/imu2,1
test,data1/imu2,2
test,data1/imu2,3
test,data1/imu2,4
test,data1/imu2,5
test,data1/imu2,6
test,data1/imu2,7
test,data1/imu2,8
test,data1/imu2,9
test,data1/imu2,10
test,data1/imu2,11
test,data1/imu2,12
test,data1/imu2,13
test,data1/imu2,14
test,data1/imu2,15
test,data1/imu2,16
test,data1/imu2,17
test,data1/imu2,18
test,data1/imu2,19
test,data1/imu2,20
test,data1/imu2,21
test,data1/imu2,22
test,data1/imu2,23
test,data1/imu2,24
test,data1/imu2,25
test,data1/imu2,26
test,data1/imu2,27
test,data1/imu2,28
test,data1/imu2,29
test,data1/imu2,30
test,data1/imu2,31
test,data1/imu2,32
test,data1/imu2,33
test,data1/imu2,34
test,data1/imu2,35
test,data1/imu2,36
test,data1/imu2,37
test,data1/imu2,38
test,data1/imu2,39
test,data1/imu2,40
test,data1/imu2,41
test,data1/imu2,42
test,data1/imu2,43
test,data1/imu2,44
test,data1/imu2,45
test,data1/imu2,46
test,data1/imu2,47
test,data1/imu2,48
test,data1/imu2,49
test,data1/imu2,50
test,data1/imu2,51
test,data1/imu2,52
test,data1/imu2,53
test,data1/imu2,54
test,data1/imu2,55
test,data1/imu2,56
test,data1/imu2,57
test,data1/imu2,58
test,data1/imu2,59
test,data1/imu2,60
test,data1/imu2,61
test,data1/imu2,62
test,data1/imu2,63
test,data1/imu2,64
test,data1/imu2,65
test,data1/imu2,66
test,data1/imu2,67
test,data1/imu2,68
test,data1/imu2,69
test,data1/imu2,70
test,data1/imu2,71
test,data1/imu2,72
test,data1/imu2,73
test,data1/imu2,74
test,data1/imu2,75
test,data1/imu2,76
test,data1/imu2,77
test,data1/imu2,78
test,data1/imu2,79
test,data1/imu2,80
test,data1/imu2,81
test,data1/imu2,82
test,data1/imu2,83
test,data1/imu2,84
test,data1/imu2,85
test,data1/imu2,86
test,data1/imu2,87
test,data1/imu2,88
test,data1/imu2,89
test,data1/imu2,90
test,data1/imu2,91
test,data1/imu2,92
test,data1/imu2,93
test,data1/imu2,94
test,data1/imu2,95
test,data1/imu2,96
test,data1/imu2,97
test,data1/imu2,98
test,data1/imu2,99
test,data1/imu2,100
test,data1/imu2,101
test,data1/imu2,102
test,data1/imu2,103
test,data1/imu2,104
test,data1/imu2,105
test,data1/imu2,106
test,data1/imu2,107
test,data1/imu2,108
test,data1/imu2,109
test,data1/imu2,110
test,data1/imu2,111
test,data1/imu2,112
test,data1/imu2,113
test,data1/imu2,114
test,data1/imu2,115
test,data1/imu2,116
validation,data1/imu3,0
validation,data1/imu3,1
validation,data1/imu3,2
validation,data1/imu3,3
validation,data1/imu3,4
validation,data1/imu3,5
validation,data1/imu3,6
validation,data1/imu3,7
validation,data1/imu3,8
validation,data1/imu3,9
validation,data1/imu3,10
validation,data1/imu3,11
validation,data1/imu3,12
validation,data1/imu3,13
validation,data1/imu3,14
validation,data1/imu3,15
validation,data1/imu3,16
validation,data1/imu3,17
validation,data1/imu3,18
validation,data1/imu3,19
validation,data1/imu3,20
validation,data1/imu3,21
validation,data1/imu3,22
validation,data1/imu3,23
validation,data1/imu3,24
validation,data1/imu3,25
validation,data1/imu3,26
validation,data1/imu3,27
validation,data1/imu3,28
validation,data1/imu3,29
validation,data1/imu3,30
validation,data1/imu3,31
validation,data1/imu3,32
validation,data1/imu3,33
validation,data1/imu3,34
validation,data1/imu3,35
validation,data1/imu3,36
validation,data1/imu3,37
validation,data1/imu3,38
validation,data1/imu3,39
validation,data1/imu3,40
validation,data1/imu3,41
validation,data1/imu3,42
validation,data1/imu3,43
validation,data1/imu3,44
validation,data1/imu3,45
validation,data1/imu3,46
validation,data1/imu3,47
validation,data1/imu3,48
validation,data1/imu3,49
validation,data1/imu3,50
validation,data1/imu3,51
validation,data1/imu3,52
validation,data1/imu3,53
validation,data1/imu3,54
validation,data1/imu3,55
validation,data1/imu3,56
validation,data1/imu3,57
validation,data1/imu3,58
validation,data1/imu3,59
validation,data1/imu3,60
validation,data1/imu3,61
validation,data1/imu3,62
validation,data1/imu3,63
validation,data1/imu3,64
validation,data1/imu3,65
validation,data1/imu3,66
validation,data1/imu3,67
validation,data1/imu3,68
validation,data1/imu3,69
validation,data1/imu3,70
validation,data1/imu3,71
validation,data1/imu3,72
validation,data1/imu3,73
validation,data1/imu3,74
validation,data1/imu3,75
validation,data1/imu3,76
validation,data1/imu3,77
validation,data1/imu3,78
validation,data1/imu3,79
validation,data1/imu3,80
validation,data1/imu3,81
validation,data1/imu3,82
validation,data1/imu3,83
validation,data1/imu3,84
validation,data1/imu3,85
validation,data1/imu3,86
validation,data1/imu3,87
validation,data1/imu3,88
validation,data1/imu3,89
validation,data1/imu3,90
validation,data1/imu3,91
validation,data1/imu3,92
validation,data1/imu3,93
train,data1/imu4,0
train,data1/imu4,1
train,data1/imu4,2
train,data1/imu4,3
train,data1/imu4,4
train,data1/imu4,5
train,data1/imu4,6
train,data1/imu4,7
train,data1/imu4,8
train,data1/imu4,9
train,data1/imu4,10
train,data1/imu4,11
train,data1/imu4,12
train,data1/imu4,13
train,data1/imu4,14
train,data1/imu4,15
train,data1/imu4,16
train,data1/imu4,17
train,data1/imu4,18
train,data1/imu4,19
train,data1/imu4,20
train,data1/imu4,21
train,data1/imu4,22
train,data1/imu4,23
train,data1/imu4,24
train,data1/imu4,25
train,data1/imu4,26
train,data1/imu4,27
train,data1/imu4,28
train,data1/imu4,29
train,data1/imu4,30
train,data1/imu4,31
train,data1/imu4,32
train,data1/imu4,33
train,data1/imu4,34
train,data1/imu4,35
train,data1/imu4,36
train,data1/imu4,37
train,data1/imu4,38
train,data1/imu4,39
train,data1/imu4,40
train,data1/imu4,41
train,data1/imu4,42
train,data1/imu4,43
train,data1/imu4,44
train,data1/imu4,45
train,data1/imu4,46
train,data1/imu4,47
train,data1/imu4,48
train,data1/imu4,49
train,data1/imu4,50
train,data1/imu4,51
train,data1/imu4,52
train,data1/imu4,53
train,data1/imu4,54
train,data1/imu4,55
train,data1/imu4,56
train,data1/imu4,57
train,data1/imu4,58
train,data1/imu4,59
train,data1/imu4,60
train,data1/imu4,61
train,data1/imu4,62
train,data1/imu4,63
train,data1/imu4,64
train,data1/imu4,65
train,data1/imu4,66
train,data1/imu4,67
train,data1/imu4,68
train,data1/imu4,69
train,data1/imu4,70
train,data1/imu4,71
train,data1/imu4,72
train,data1/imu4,73
train,data1/imu4,74
train,data1/imu4,75
train,data1/imu4,76
train,data1/imu4,77
train,data1/imu4,78
train,data1/imu4,79
train,data1/imu4,80
train,data1/imu4,81
train,data1/imu4,82
train,data1/imu4,83
train,data1/imu4,84
train,data1/imu4,85
