split,sequence_id,window_index,start_index,end_index
train,data1/imu1,0,0,199
train,data1/imu1,1,200,399
train,data1/imu1,2,400,599
train,data1/imu1,3,600,799
train,data1/imu1,4,800,999
train,data1/imu1,5,1000,1199
train,data1/imu1,6,1200,1399
train,data1/imu1,7,1400,1599
train,data1/imu1,8,1600,1799
train,data1/imu1,9,1800,1999
train,data1/imu1,10,2000,2199
train,data1/imu1,11,2200,2399
train,data1/imu1,12,2400,2599
train,data1/imu1,13,2600,2799
train,data1/imu1,14,2800,2999
train,data1/imu1,15,3000,3199
train,data1/imu1,16,3200,3399
train,data1/imu1,17,3400,3599
train,data1/imu1,18,3600,3799
train,data1/imu1,19,3800,3999
train,data1/imu1,20,4000,4199
train,data1/imu1,21,4200,4399
train,data1/imu1,22,4400,4599
train,data1/imu1,23,4600,4799
train,data1/imu1,24,4800,4999
train,data1/imu1,25,5000,5199
train,data1/imu1,26,5200,5399
train,data1/imu1,27,5400,5599
train,data1/imu1,28,5600,5799
train,data1/imu1,29,5800,5999
train,data1/imu1,30,6000,6199
train,data1/imu1,31,6200,6399
train,data1/imu1,32,6400,6599
train,data1/imu1,33,6600,6799
train,data1/imu1,34,6800,6999
train,data1/imu1,35,7000,7199
train,data1/imu1,36,7200,7399
train,data1/imu1,37,7400,7599
train,data1/imu1,38,7600,7799
train,data1/imu1,39,7800,7999
train,data1/imu1,40,8000,8199
train,data1/imu1,41,8200,8399
train,data1/imu1,42,8400,8599
train,data1/imu1,43,8600,8799
train,data1/imu1,44,8800,8999
train,data1/imu1,45,9000,9199
train,data1/imu1,46,9200,9399
train,data1/imu1,47,9400,9599
train,data1/imu1,48,9600,9799
train,data1/imu1,49,9800,9999
train,data1/imu1,50,10000,10199
train,data1/imu1,51,10200,10399
train,data1/imu1,52,10400,10599
train,data1/imu1,53,10600,10799
train,data1/imu1,54,10800,10999
train,data1/imu1,55,11000,11199
train,data1/imu1,56,11200,11399
train,data1/imu1,57,11400,11599
train,data1/imu1,58,11600,11799
train,data1/imu1,59,11800,11999
train,data1/imu1,60,12000,12199
train,data1/imu1,61,12200,12399
train,data1/imu1,62,12400,12599
train,data1/imu1,63,12600,12799
train,data1/imu1,64,12800,12999
train,data1/imu1,65,13000,13199
train,data1/imu1,66,13200,13399
train,data1/imu1,67,13400,13599
train,data1/imu1,68,13600,13799
train,data1/imu1,69,13800,13999
train,data1/imu1,70,14000,14199
train,data1/imu1,71,14200,14399
train,data1/imu1,72,14400,14599
train,data1/imu1,73,14600,14799
train,data1/imu1,74,14800,14999
train,data1/imu1,75,15000,15199
train,data1/imu1,76,15200,15399
train,data1/imu1,77,15400,15599
train,data1/imu1,78,15600,15799
train,data1/imu1,79,15800,15999
train,data1/imu1,80,16000,16199
train,data1/imu1,81,16200,16399
train,data1/imu1,82,16400,16599
train,data1/imu1,83,16600,16799
train,data1/imu1,84,16800,16999
train,data1/imu1,85,17000,17199
train,data1/imu1,86,17200,17399
train,data1/imu1,87,17400,17599
train,data1/imu1,88,17600,17799
train,data1/imu1,89,17800,17999
train,data1/imu1,90,18000,18199
train,data1/imu1,91,18200,18399
train,data1/imu1,92,18400,18599
train,data1/imu1,93,18600,18799
train,data1/imu1,94,18800,18999
train,data1/imu1,95,19000,19199
train,data1/imu1,96,19200,19399
train,data1/imu1,97,19400,19599
train,data1/imu1,98,19600,19799
train,data1/imu1,99,19800,19999
train,data1/imu1,100,20000,20199
train,data1/imu1,101,20200,20399
train,data1/imu1,102,20400,20599
train,data1/imu1,103,20600,20799
train,data1/imu1,104,20800,20999
train,data1/imu1,105,21000,21199
train,data1/imu1,106,21200,21399
train,data1/imu1,107,21400,21599
train,data1/imu1,108,21600,21799
train,data1/imu1,109,21800,21999
train,data1/imu1,110,22000,22199
train,data1/imu1,111,22200,22399
train,data1/imu1,112,22400,22599
train,data1/imu1,113,22600,22799
train,data1/imu1,114,22800,22999
train,data1/imu1,115,23000,23199
train,data1/imu1,116,23200,23399
train,data1/imu1,117,23400,23599
train,data1/imu1,118,23600,23799
train,data1/imu1,119,23800,23999
train,data1/imu1,120,24000,24199
train,data1/imu1,121,24200,24399
train,data1/imu1,122,24400,24599
train,data1/imu1,123,24600,24799
train,data1/imu1,124,24800,24999
train,data1/imu1,125,25000,25199
train,data1/imu1,126,25200,25399
train,data1/imu1,127,25400,25599
train,data1/imu1,128,25600,25799
train,data1/imu1,129,25800,25999
train,data1/imu1,130,26000,26199
train,data1/imu1,131,26200,26399
train,data1/imu1,132,26400,26599
train,data1/imu1,133,26600,26799
train,data1/imu1,134,26800,26999
train,data1/imu1,135,27000,27199
train,data1/imu1,136,27200,27399
train,data1/imu1,137,27400,27599
train,data1/imu1,138,27600,27799
train,data1/imu1,139,27800,27999
train,data1/imu1,140,28000,28199
train,data1/imu1,141,28200,28399
train,data1/imu1,142,28400,28599
train,data1/imu1,143,28600,28799
train,data1/imu1,144,28800,28999
train,data1/imu1,145,29000,29199
train,data1/imu1,146,29200,29399
train,data1/imu1,147,29400,29599
train,data1/imu1,148,29600,29799
train,data1/imu1,149,29800,29999
train,data1/imu1,150,30000,30199
train,data1/imu1,151,30200,30399
train,data1/imu1,152,30400,30599
train,data1/imu1,153,30600,30799
train,data1/imu1,154,30800,30999
train,data1/imu1,155,31000,31199
train,data1/imu1,156,31200,31399
