sequence_id,split,sequence,imu_file,vi_file
data1/imu1,train,data1,data1/syn/imu1.csv,data1/syn/vi1.csv
data1/imu2,test,data1,data1/syn/imu2.csv,data1/syn/vi2.csv
data1/imu3,validation,data1,data1/syn/imu3.csv,data1/syn/vi3.csv
data1/imu4,train,data1,data1/syn/imu4.csv,data1/syn/vi4.csv
data1/imu5,validation,data1,data1/syn/imu5.csv,data1/syn/vi5.csv
data1/imu6,train,data1,data1/syn/imu6.csv,data1/syn/vi6.csv
data1/imu7,train,data1,data1/syn/imu7.csv,data1/syn/vi7.csv
data2/imu1,train,data2,data2/syn/imu1.csv,data2/syn/vi1.csv
data2/imu2,test,data2,data2/syn/imu2.csv,data2/syn/vi2.csv
data2/imu3,train,data2,data2/syn/imu3.csv,data2/syn/vi3.csv
data3/imu1,train,data3,data3/syn/imu1.csv,data3/syn/vi1.csv
data3/imu2,train,data3,data3/syn/imu2.csv,data3/syn/vi2.csv
data3/imu3,train,data3,data3/syn/imu3.csv,data3/syn/vi3.csv
data3/imu4,test,data3,data3/syn/imu4.csv,data3/syn/vi4.csv
data3/imu5,train,data3,data3/syn/imu5.csv,data3/syn/vi5.csv
data4/imu1,train,data4,data4/syn/imu1.csv,data4/syn/vi1.csv
data4/imu2,train,data4,data4/syn/imu2.csv,data4/syn/vi2.csv
data4/imu3,train,data4,data4/syn/imu3.csv,data4/syn/vi3.csv
data4/imu4,train,data4,data4/syn/imu4.csv,data4/syn/vi4.csv
data4/imu5,train,data4,data4/syn/imu5.csv,data4/syn/vi5.csv
data5/imu1,train,data5,data5/syn/imu1.csv,data5/syn/vi1.csv
data5/imu2,test,data5,data5/syn/imu2.csv,data5/syn/vi2.csv
data5/imu3,validation,data5,data5/syn/imu3.csv,data5/syn/vi3.csv
data5/imu4,train,data5,data5/syn/imu4.csv,data5/syn/vi4.csv
