sequence_key,smartphone_file,vehicle_file,assigned_split,category,duration_s
m,S-M.csv,V-M.csv,test,S-Dataset,10597.4
s1,S-S1.csv,V-S1.csv,val,S-Dataset,5174.6
s2,S-S2.csv,V-S2.csv,val,S-Dataset,9387.6
s3a,S-S3a.csv,V-S3a.csv,val,S-Dataset,2462.1
s3b,S-S3b.csv,V-S3b.csv,val,S-Dataset,681.3
s3c,S-S3c.csv,V-S3c.csv,val,S-Dataset,3718.3
s4,S-S4.csv,V-S4.csv,val,S-Dataset,9460.0
vfa01,S-Vfa01.csv,V-Vfa01.csv,test,S-Dataset,1148.6
vfa02,S-Vfa02.csv,V-Vfa02.csv,test,S-Dataset,6752.3
vta10,S-Vta10.csv,V-vta10.csv,train,S-Dataset,150.2
vta11,S-Vta11.csv,V-vta11.csv,train,S-Dataset,51.0
vta12,S-Vta12.csv,V-vta12.csv,train,S-Dataset,61.0
vta13,S-Vta13.csv,V-vta13.csv,train,S-Dataset,40.4
vta14,S-Vta14.csv,V-vta14.csv,train,S-Dataset,288.5
vta15,S-Vta15.csv,V-vta15.csv,train,S-Dataset,83.3
vta16,S-Vta16.csv,V-vta16.csv,train,S-Dataset,1133.5
vta17,S-Vta17.csv,V-vta17.csv,train,S-Dataset,451.9
vta19,S-Vta19.csv,V-vta19.csv,train,S-Dataset,29.2
vta1a,S-Vta1a.csv,V-Vta1a.csv,train,S-Dataset,2567.6
vta1b,S-Vta1b.csv,V-Vta1b.csv,train,S-Dataset,95.4
vta2,S-Vta2.csv,V-vta2.csv,train,S-Dataset,1099.1
vta20,S-Vta20.csv,V-vta20.csv,train,S-Dataset,322.3
vta21,S-Vta21.csv,V-vta21.csv,train,S-Dataset,207.9
vta22,S-Vta22.csv,V-vta22.csv,train,S-Dataset,156.4
vta23,S-Vta23.csv,V-vta23.csv,train,S-Dataset,111.0
vta24,S-Vta24.csv,V-vta24.csv,train,S-Dataset,117.1
vta25,S-Vta25.csv,V-vta25.csv,train,S-Dataset,64.6
vta26,S-Vta26.csv,V-vta26.csv,train,S-Dataset,193.5
vta27,S-Vta27.csv,V-vta27.csv,train,S-Dataset,254.0
vta28,S-Vta28.csv,V-vta28.csv,train,S-Dataset,421.0
vta29,S-Vta29.csv,V-vta29.csv,train,S-Dataset,2370.5
vta3,S-Vta3.csv,V-vta3.csv,train,S-Dataset,64.5
vta30,S-Vta30.csv,V-vta30.csv,train,S-Dataset,1713.6
vta4,S-Vta4.csv,V-vta4.csv,train,S-Dataset,178.9
vta5,S-Vta5.csv,V-vta5.csv,train,S-Dataset,30.7
vta6,S-Vta6.csv,V-vta6.csv,train,S-Dataset,137.6
vta7,S-Vta7.csv,V-vta7.csv,train,S-Dataset,84.0
vta8,S-Vta8.csv,V-vta8.csv,train,S-Dataset,367.6
vta9,S-Vta9.csv,V-vta9.csv,train,S-Dataset,15.6
vtb1,S-Vtb1.csv,V-vtb1.csv,train,S-Dataset,3245.9
vtb10,S-Vtb10.csv,V-vtb10.csv,train,S-Dataset,19.6
vtb11,S-Vtb11.csv,V-vtb11.csv,train,S-Dataset,36.1
vtb12,S-Vtb12.csv,V-vtb12.csv,train,S-Dataset,44.7
vtb2,S-Vtb2.csv,V-vtb2.csv,train,S-Dataset,571.2
vtb3,S-Vtb3.csv,V-vtb3.csv,train,S-Dataset,824.0
vtb4,S-Vtb4.csv,V-vtb4.csv,train,S-Dataset,55.6
vtb5,S-Vtb5.csv,V-vtb5.csv,train,S-Dataset,6438.8
vtb6,S-Vtb6.csv,V-vtb6.csv,train,S-Dataset,49.8
vtb7,S-Vtb7.csv,V-vtb7.csv,train,S-Dataset,46.1
vtb8,S-Vtb8.csv,V-vtb8.csv,train,S-Dataset,66.8
vtb9,S-Vtb9.csv,V-vtb9.csv,train,S-Dataset,45.2
vw1,S-Vw1.csv,V-Vw1.csv,train,S-Dataset,2047.6
vw10,S-Vw10.csv,V-Vw10.csv,train,S-Dataset,65.2
vw11,S-Vw11.csv,V-Vw11.csv,train,S-Dataset,490.9
vw12,S-Vw12.csv,V-Vw12.csv,val,S-Dataset,91.8
vw13,S-Vw13.csv,V-Vw13.csv,val,S-Dataset,28.4
vw14a,S-Vw14a.csv,V-Vw14a.csv,val,S-Dataset,313.8
vw14b,S-Vw14b.csv,V-Vw14b.csv,val,S-Dataset,1958.8
vw14c,S-Vw14c.csv,V-Vw14c.csv,test,S-Dataset,1582.6
vw15,S-Vw15.csv,V-Vw15.csv,test,S-Dataset,138.0
vw16a,S-Vw16a.csv,V-Vw16a.csv,test,S-Dataset,587.9
vw16b,S-Vw16b.csv,V-Vw16b.csv,test,S-Dataset,112.6
vw17,S-Vw17.csv,V-Vw17.csv,test,S-Dataset,32.9
vw2,S-Vw2.csv,V-Vw2.csv,train,S-Dataset,5271.3
vw3,S-Vw3.csv,V-Vw3.csv,train,S-Dataset,386.1
vw4,S-Vw4.csv,V-Vw4.csv,train,S-Dataset,12652.6
vw5,S-Vw5.csv,V-Vw5.csv,train,S-Dataset,101.2
vw6,S-Vw6.csv,V-Vw6.csv,train,S-Dataset,128.1
vw7,S-Vw7.csv,V-Vw7.csv,train,S-Dataset,160.2
vw8,S-Vw8.csv,V-Vw8.csv,train,S-Dataset,152.9
vw9,S-Vw9.csv,V-Vw9.csv,train,S-Dataset,55.2
y1,S-Y1.csv,V-Y1.csv,test,S-Dataset,7028.5
