sequence_key,smartphone_file,vehicle_file,category,smartphone_rows,vehicle_rows,row_difference,smartphone_cols,vehicle_cols,smartphone_duration_s,vehicle_duration_s
m,S-M.csv,V-M.csv,S-Dataset,105974,105974,0,24,29,10597.4,10597.4
s1,S-S1.csv,V-S1.csv,S-Dataset,51746,51746,0,24,29,5174.6,5174.6
s2,S-S2.csv,V-S2.csv,S-Dataset,93876,93876,0,24,29,9387.6,9387.6
s3a,S-S3a.csv,V-S3a.csv,S-Dataset,24621,24621,0,24,29,2462.1,2462.1
s3b,S-S3b.csv,V-S3b.csv,S-Dataset,6813,6813,0,24,29,681.3,681.3
s3c,S-S3c.csv,V-S3c.csv,S-Dataset,37183,37183,0,24,29,3718.3,3718.3
s4,S-S4.csv,V-S4.csv,S-Dataset,94600,94600,0,24,29,9460.0,9460.0
vfa01,S-Vfa01.csv,V-Vfa01.csv,S-Dataset,11486,11535,49,24,29,1148.6,1153.5
vfa02,S-Vfa02.csv,V-Vfa02.csv,S-Dataset,67523,67755,232,24,29,6752.3,6775.5
vta10,S-Vta10.csv,V-vta10.csv,S-Dataset,1502,1502,0,24,29,150.2,150.2
vta11,S-Vta11.csv,V-vta11.csv,S-Dataset,510,510,0,24,29,51.0,51.0
vta12,S-Vta12.csv,V-vta12.csv,S-Dataset,610,610,0,24,29,61.0,61.0
vta13,S-Vta13.csv,V-vta13.csv,S-Dataset,404,404,0,24,29,40.4,40.4
vta14,S-Vta14.csv,V-vta14.csv,S-Dataset,2885,2885,0,24,29,288.5,288.5
vta15,S-Vta15.csv,V-vta15.csv,S-Dataset,833,833,0,24,29,83.3,83.3
vta16,S-Vta16.csv,V-vta16.csv,S-Dataset,11335,11335,0,24,29,1133.5,1133.5
vta17,S-Vta17.csv,V-vta17.csv,S-Dataset,4519,4519,0,24,29,451.9,451.9
vta19,S-Vta19.csv,V-vta19.csv,S-Dataset,292,292,0,24,29,29.2,29.2
vta1a,S-Vta1a.csv,V-Vta1a.csv,S-Dataset,25676,25676,0,24,29,2567.6,2567.6
vta1b,S-Vta1b.csv,V-Vta1b.csv,S-Dataset,954,953,1,24,29,95.4,95.3
vta2,S-Vta2.csv,V-vta2.csv,S-Dataset,10991,10991,0,24,29,1099.1,1099.1
vta20,S-Vta20.csv,V-vta20.csv,S-Dataset,3223,3223,0,24,29,322.3,322.3
vta21,S-Vta21.csv,V-vta21.csv,S-Dataset,2079,2079,0,24,29,207.9,207.9
vta22,S-Vta22.csv,V-vta22.csv,S-Dataset,1564,1564,0,24,29,156.4,156.4
vta23,S-Vta23.csv,V-vta23.csv,S-Dataset,1110,1110,0,24,29,111.0,111.0
vta24,S-Vta24.csv,V-vta24.csv,S-Dataset,1171,1171,0,24,29,117.1,117.1
vta25,S-Vta25.csv,V-vta25.csv,S-Dataset,646,646,0,24,29,64.6,64.6
vta26,S-Vta26.csv,V-vta26.csv,S-Dataset,1935,1935,0,24,29,193.5,193.5
vta27,S-Vta27.csv,V-vta27.csv,S-Dataset,2540,2540,0,24,29,254.0,254.0
vta28,S-Vta28.csv,V-vta28.csv,S-Dataset,4210,4210,0,24,29,421.0,421.0
vta29,S-Vta29.csv,V-vta29.csv,S-Dataset,23705,23705,0,24,29,2370.5,2370.5
vta3,S-Vta3.csv,V-vta3.csv,S-Dataset,645,645,0,24,29,64.5,64.5
vta30,S-Vta30.csv,V-vta30.csv,S-Dataset,17136,17136,0,24,29,1713.6,1713.6
vta4,S-Vta4.csv,V-vta4.csv,S-Dataset,1789,1789,0,24,29,178.9,178.9
vta5,S-Vta5.csv,V-vta5.csv,S-Dataset,307,307,0,24,29,30.7,30.7
vta6,S-Vta6.csv,V-vta6.csv,S-Dataset,1376,1376,0,24,29,137.6,137.6
vta7,S-Vta7.csv,V-vta7.csv,S-Dataset,840,840,0,24,29,84.0,84.0
vta8,S-Vta8.csv,V-vta8.csv,S-Dataset,3676,3676,0,24,29,367.6,367.6
vta9,S-Vta9.csv,V-vta9.csv,S-Dataset,156,156,0,24,29,15.6,15.6
vtb1,S-Vtb1.csv,V-vtb1.csv,S-Dataset,32459,32459,0,24,29,3245.9,3245.9
vtb10,S-Vtb10.csv,V-vtb10.csv,S-Dataset,196,195,1,24,29,19.6,19.5
vtb11,S-Vtb11.csv,V-vtb11.csv,S-Dataset,361,361,0,24,29,36.1,36.1
vtb12,S-Vtb12.csv,V-vtb12.csv,S-Dataset,447,447,0,24,29,44.7,44.7
vtb2,S-Vtb2.csv,V-vtb2.csv,S-Dataset,5712,5712,0,24,29,571.2,571.2
vtb3,S-Vtb3.csv,V-vtb3.csv,S-Dataset,8240,8240,0,24,29,824.0,824.0
vtb4,S-Vtb4.csv,V-vtb4.csv,S-Dataset,556,556,0,24,29,55.6,55.6
vtb5,S-Vtb5.csv,V-vtb5.csv,S-Dataset,64388,64388,0,24,29,6438.8,6438.8
vtb6,S-Vtb6.csv,V-vtb6.csv,S-Dataset,498,498,0,24,29,49.8,49.8
vtb7,S-Vtb7.csv,V-vtb7.csv,S-Dataset,461,461,0,24,29,46.1,46.1
vtb8,S-Vtb8.csv,V-vtb8.csv,S-Dataset,668,668,0,24,29,66.8,66.8
vtb9,S-Vtb9.csv,V-vtb9.csv,S-Dataset,452,452,0,24,29,45.2,45.2
vw1,S-Vw1.csv,V-Vw1.csv,S-Dataset,20476,20475,1,24,29,2047.6,2047.5
vw10,S-Vw10.csv,V-Vw10.csv,S-Dataset,652,652,0,24,29,65.2,65.2
vw11,S-Vw11.csv,V-Vw11.csv,S-Dataset,4909,4909,0,24,29,490.9,490.9
vw12,S-Vw12.csv,V-Vw12.csv,S-Dataset,918,918,0,24,29,91.8,91.8
vw13,S-Vw13.csv,V-Vw13.csv,S-Dataset,284,284,0,24,29,28.4,28.4
vw14a,S-Vw14a.csv,V-Vw14a.csv,S-Dataset,3138,3138,0,24,29,313.8,313.8
vw14b,S-Vw14b.csv,V-Vw14b.csv,S-Dataset,19588,19588,0,24,29,1958.8,1958.8
vw14c,S-Vw14c.csv,V-Vw14c.csv,S-Dataset,15826,15826,0,24,29,1582.6,1582.6
vw15,S-Vw15.csv,V-Vw15.csv,S-Dataset,1380,1391,11,24,29,138.0,139.1
vw16a,S-Vw16a.csv,V-Vw16a.csv,S-Dataset,5879,5879,0,24,29,587.9,587.9
vw16b,S-Vw16b.csv,V-Vw16b.csv,S-Dataset,1126,1126,0,24,29,112.6,112.6
vw17,S-Vw17.csv,V-Vw17.csv,S-Dataset,329,329,0,24,29,32.9,32.9
vw2,S-Vw2.csv,V-Vw2.csv,S-Dataset,52713,52712,1,24,29,5271.3,5271.2
vw3,S-Vw3.csv,V-Vw3.csv,S-Dataset,3861,3861,0,24,29,386.1,386.1
