file_path,file_size,file_type,parent_sequence,recording_type,estimated_sensor_type,row_count,column_count
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,19798721,.csv,M (Driver B),Smartphone,AndroSensor (IMU + GPS),105974,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,22507823,.csv,M (Driver B),Vehicle,Vehicle CAN/ECU (Dynamics + GPS),105974,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/S-S1.csv,9631499,.csv,S1,Smartphone,AndroSensor (IMU + GPS),51746,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/V-S1.csv,10967129,.csv,S1,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),51746,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,17469302,.csv,S2,Smartphone,AndroSensor (IMU + GPS),93876,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/V-S2.csv,20091681,.csv,S2,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),93876,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/S-S3a.csv,4580130,.csv,S3a,Smartphone,AndroSensor (IMU + GPS),24621,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/V-S3a.csv,5286764,.csv,S3a,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),24621,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/S-S3b.csv,1253565,.csv,S3b,Smartphone,AndroSensor (IMU + GPS),6813,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/V-S3b.csv,1464196,.csv,S3b,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),6813,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/S-S3c.csv,6881631,.csv,S3c,Smartphone,AndroSensor (IMU + GPS),37183,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/V-S3c.csv,7976092,.csv,S3c,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),37183,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,17574514,.csv,S4,Smartphone,AndroSensor (IMU + GPS),94600,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/V-S4.csv,20164189,.csv,S4,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),94600,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/S-Vfa01.csv,2134667,.csv,V-Vfa01,Smartphone,AndroSensor (IMU + GPS),11486,24
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/V-Vfa01.csv,2398099,.csv,V-Vfa01,Vehicle,Vehicle CAN/ECU (Dynamics + GPS),11535,29
data/raw/IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa02/S-Vfa02.csv,12603657,.csv,V-Vfa02,Smartphone,AndroSensor (IMU + GPS),67523,24
