sequence,time_column,timestamp_unit,median_dt,mean_dt,min_dt,max_dt,estimated_sampling_frequency_hz,number_of_samples,duration_seconds
S-M.csv, TIME SINCE START (ms),milliseconds,100.0,100.01193711546446,81.0,1365.0,10.0,105974,10597.4
S-S1.csv, TIME SINCE START (ms),milliseconds,100.0,99.9999806744613,89.0,111.0,10.0,51746,5174.6
S-S2.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,88.0,112.0,10.0,93876,9387.6
S-S3a.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,87.0,112.0,10.0,24621,2462.1
S-S3b.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,95.0,105.0,10.0,6813,681.3
S-S3c.csv, TIME SINCE START (ms),milliseconds,100.0,99.999973105266,82.0,121.0,10.0,37183,3718.3
S-S4.csv, TIME SINCE START (ms),milliseconds,100.0,99.99998942884024,82.0,117.0,10.0,94600,9460.0
S-Vfa01.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,86.0,113.0,10.0,11486,1148.6
S-Vfa02.csv, TIME SINCE START (ms),milliseconds,100.0,100.00001480998786,59.0,141.0,10.0,67523,6752.3
S-Vta1a.csv, TIME SINCE START (ms),milliseconds,100.0,99.99996105160662,88.0,111.0,10.0,25676,2567.6
S-Vta1b.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,94.0,106.0,10.0,954,95.4
S-Vta2.csv, TIME SINCE START (ms),milliseconds,100.0,99.99981801637853,90.0,108.0,10.0,10991,1099.1
S-Vta3.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,96.0,104.0,10.0,645,64.5
S-Vta4.csv, TIME SINCE START (ms),milliseconds,100.0,99.99944071588367,96.0,104.0,10.0,1789,178.9
S-Vta5.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,98.0,102.0,10.0,307,30.7
S-Vta6.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,95.0,106.0,10.0,1376,137.6
S-Vta7.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,91.0,108.0,10.0,840,84.0
S-Vta8.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,92.0,108.0,10.0,3676,367.6
S-Vta9.csv, TIME SINCE START (ms),milliseconds,100.0,99.98709677419355,97.0,102.0,10.0,156,15.6
S-Vta10.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,91.0,109.0,10.0,1502,150.2
S-Vta11.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,97.0,102.0,10.0,510,51.0
S-Vta12.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,97.0,103.0,10.0,610,61.0
S-Vta13.csv, TIME SINCE START (ms),milliseconds,100.0,100.00248138957816,96.0,104.0,10.0,404,40.4
S-Vta14.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,96.0,105.0,10.0,2885,288.5
S-Vta15.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,90.0,110.0,10.0,833,83.3
S-Vta16.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,90.0,110.0,10.0,11335,1133.5
S-Vta17.csv, TIME SINCE START (ms),milliseconds,100.0,100.26250553342187,93.0,1284.0,10.0,4519,451.9
S-Vta19.csv, TIME SINCE START (ms),milliseconds,100.0,100.00343642611683,97.0,104.0,10.0,292,29.2
S-Vta20.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,95.0,105.0,10.0,3223,322.3
S-Vta21.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,96.0,104.0,10.0,2079,207.9
S-Vta22.csv, TIME SINCE START (ms),milliseconds,100.0,100.00063979526551,96.0,104.0,10.0,1564,156.4
S-Vta23.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,95.0,104.0,10.0,1110,111.0
S-Vta24.csv, TIME SINCE START (ms),milliseconds,100.0,100.0008547008547,96.0,104.0,10.0,1171,117.1
S-Vta25.csv, TIME SINCE START (ms),milliseconds,100.0,99.9968992248062,97.0,103.0,10.0,646,64.6
S-Vta26.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,96.0,103.0,10.0,1935,193.5
S-Vta27.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,96.0,104.0,10.0,2540,254.0
S-Vta28.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,93.0,107.0,10.0,4210,421.0
S-Vta29.csv, TIME SINCE START (ms),milliseconds,100.0,99.99063291139241,1.0,111.0,10.0,23705,2370.5
S-Vta30.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,66.0,134.0,10.0,17136,1713.6
S-Vtb1.csv, TIME SINCE START (ms),milliseconds,100.0,120.2058736389897,1.0,661376.0,10.0,32459,3245.9
S-Vtb2.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,94.0,107.0,10.0,5712,571.2
S-Vtb3.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,95.0,106.0,10.0,8240,824.0
S-Vtb4.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,98.0,102.0,10.0,556,55.6
S-Vtb5.csv, TIME SINCE START (ms),milliseconds,100.0,100.00001553108547,80.0,119.0,10.0,64388,6438.8
S-Vtb6.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,88.0,112.0,10.0,498,49.8
S-Vtb7.csv, TIME SINCE START (ms),milliseconds,100.0,100.00217391304348,96.0,103.0,10.0,461,46.1
S-Vtb8.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,94.0,105.0,10.0,668,66.8
S-Vtb9.csv, TIME SINCE START (ms),milliseconds,100.0,99.99778270509978,97.0,103.0,10.0,452,45.2
S-Vtb10.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,95.0,105.0,10.0,196,19.6
S-Vtb11.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,96.0,103.0,10.0,361,36.1
S-Vtb12.csv, TIME SINCE START (ms),milliseconds,100.0,100.00224215246637,97.0,103.0,10.0,447,44.7
S-Vw1.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,84.0,115.0,10.0,20476,2047.6
S-Vw2.csv, TIME SINCE START (ms),milliseconds,100.0,99.9999810289877,77.0,123.0,10.0,52713,5271.3
S-Vw3.csv, TIME SINCE START (ms),milliseconds,100.0,100.00025906735752,95.0,105.0,10.0,3861,386.1
S-Vw4.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,76.0,124.0,10.0,126526,12652.6
S-Vw5.csv, TIME SINCE START (ms),milliseconds,100.0,100.00098911968348,98.0,103.0,10.0,1012,101.2
S-Vw6.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,97.0,103.0,10.0,1281,128.1
S-Vw7.csv, TIME SINCE START (ms),milliseconds,100.0,99.99937539038102,94.0,106.0,10.0,1602,160.2
S-Vw8.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,95.0,105.0,10.0,1529,152.9
S-Vw9.csv, TIME SINCE START (ms),milliseconds,100.0,100.00181488203266,97.0,103.0,10.0,552,55.2
S-Vw10.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,97.0,103.0,10.0,652,65.2
S-Vw11.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,91.0,109.0,10.0,4909,490.9
S-Vw12.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,97.0,104.0,10.0,918,91.8
S-Vw13.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,98.0,102.0,10.0,284,28.4
S-Vw14a.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,95.0,106.0,10.0,3138,313.8
S-Vw14b.csv, TIME SINCE START (ms),milliseconds,100.0,100.00005105427068,91.0,109.0,10.0,19588,1958.8
S-Vw14c.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,88.0,112.0,10.0,15826,1582.6
S-Vw15.csv, TIME SINCE START (ms),milliseconds,100.0,100.0,97.0,102.0,10.0,1380,138.0
S-Vw16a.csv, TIME SINCE START (ms),milliseconds,100.0,99.99982987410684,95.0,105.0,10.0,5879,587.9
S-Vw16b.csv, TIME SINCE START (ms),milliseconds,100.0,100.0008888888889,98.0,103.0,10.0,1126,112.6
